#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-09-19T20:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ541c906b317d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:VII/118&tab:{VII/118/ngc2000}&key:source=VII/118/ngc2000&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/118/ngc2000
#-order=I
#-out=Name
#

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
#Column	_RAJ2000	(F6.2)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F6.2)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A5)	NGC or IC designation (preceded by I)	[ucd=meta.id;meta.main]
_RAJ2000;_DEJ2000;Name
deg;deg;
------;------;-----
000.0253;+32.7500;I5370
000.0503;+32.8166;I5371
000.1004;+50.6999; 7801
000.1003;+32.7833;I5372
000.1003;+32.7833;I5373
000.2753; +6.2167; 7802
000.2753; +4.5000;I5374
000.2753; +4.5167;I5375
000.3253; +7.7500; 7804
000.3503;+13.1000; 7803
000.3503;+31.4333; 7805
000.3503;+34.5333;I5376
000.3753;+31.4500; 7806
000.4003;+11.3500;I1526
000.5253;+16.6000;I5377
000.5503; +2.9333; 7809
000.6003;+12.9500; 7810
000.6003; +4.1167;I1527
000.6253; +3.3333; 7811
000.6503;+16.6166;I5378
000.6753;+16.5833;I5379
000.6754;-66.1832;I5380
000.7253;-34.2499; 7812
000.8003;-11.9833; 7813
000.8003;+15.9666;I5381
000.8253;+16.1500; 7814
000.8503;+20.6833; 7815
000.8504;-65.1832;I5382
000.8753;-10.7500; 7808
000.9004;+68.6166; 7822
000.9503; +7.4667; 7816
000.9503;+16.0000;I5383
001.0003;+20.7500; 7817
001.0503; +7.3500; 7818
001.0503;-11.9666;I5384
001.1003;+31.4833; 7819
001.1503; +5.1833; 7820
001.2004;-62.0666; 7823
001.2753; -3.1167;I1528
001.3003; +6.9000; 7824
001.3003; +5.2000; 7825
001.3003;-20.7333; 7826
001.3003;-11.5000;I1529
001.3253;-16.4833; 7821
001.3753; +5.2167; 7827
001.5503; +8.3667; 7830
001.6003;-13.4000; 7828
001.6003;-13.4000; 7829
001.6003; -0.0667;I5385
001.6253;+27.6333; 7833
001.6253; -3.7167;I5386
001.6503; -3.7000; 7832
001.6753; +8.3500; 7834
001.7003; +8.4167; 7835
001.7253; +8.3333; 7837
001.7503; +8.3333; 7838
001.7503;+27.6333; 7839
001.7753; +8.5500; 7840
001.8253;+27.7166;    1
001.8253;+27.6833;    2
001.8253; +8.2833;    3
001.8253;+32.5833; 7831
001.8253;+32.6166;I1530
001.8503; +8.3667;    4
001.9503;+35.3500;    5
002.0003;+33.0666; 7836
002.0753;+32.5000;    6
002.1003;-29.9166;    7
002.1003;+27.7166;I   1
002.1503;-33.8666;   10
002.1753;+37.4333;   11
002.1753; +4.6167;   12
002.2003;+23.8333;    8
002.2003;+33.4333;   13
002.2003;+15.8166;   14
002.2253;+23.8166;    9
002.2753;+21.6000;   15
002.2753;+27.7333;   16
002.3503;+27.7166;   18
002.3503;+32.8333;   19
002.3753;+33.3166;   20
002.4003;-32.2833;I1531
002.4503;+27.8333;   22
002.4753;+25.9166;   23
002.4753;-24.9666;   24
002.4754;-57.0499;   25
002.4754;-64.3666;I1532
002.5754;-57.0166;   28
002.6003;+25.8333;   26
002.6253;+29.0000;   27
002.6254;-56.9999;   31
002.6503; -7.4166;I1533
002.6753;+32.9833;   21
002.7003;+33.3500;   29
002.7003;+21.9500;   30
002.7253;+18.7833;   32
002.7253; +3.6667;   33
002.7503;-12.1000;   17
002.7503;-12.8166;I   2
002.7753;-12.1000;   34
002.8003;-12.0000;   35
002.8254;-56.9666;   37
002.8503; +6.3833;   36
002.9753; -5.6000;   38
003.0253; -0.4167;I   3
003.0753;+31.0500;   39
003.2003;+22.0333;   41
003.2253;+22.1000;   42
003.2504;+72.5332;   40
003.2503;+30.9000;   43
003.2753;+31.2833;   44
003.3503;+17.4833;I   4
003.4503;+48.1499;I1534
003.5003;+48.2333;   48
003.5003;+48.1499;I1535
003.5253;-23.1833;   45
003.5253; +5.9833;   46
003.5503;+48.1333;I1536
003.5753;+48.2333;   49
003.6253; -7.1833;   47
003.6253; -7.1666;   58
003.6503;+48.2499;   51
003.6503;+18.5500;   52
003.6753; -7.3333;   50
003.6754;-60.3332;   53
003.7253;-39.1833;   55
003.7753; -7.1333;   54
003.8503;+12.4333;   56
003.8503;+17.3000;   57
003.8753;-21.4500;   59
004.0003; -0.3000;   60
004.0003;-39.3166;I1537
004.1253; -6.2333;   61
004.2753;-13.4666;   62
004.3503; -9.5500;I   5
004.3753; -6.8500;   64
004.4253;+11.4500;   63
004.5003;+30.0666;I1538
004.5503;+30.0666;   67
004.5753;+30.0666;   68
004.5753;+30.0333;   69
004.6003;+30.0833;   70
004.6003;+30.0666;   71
004.6003;+30.1000;I1539
004.6253;+30.0333;   72
004.7003;-15.3500;   73
004.7253;+30.0500;   74
004.7503; -3.2667;I   6
004.7753;-22.9000;   65
004.7753;+10.5500;I   7
004.7753; -3.2167;I   8
004.8003;-22.9500;   66
004.8753; +6.4167;   75
004.9003;+29.9333;   76
004.9253;-14.1166;I   9
004.9503;+23.7166;I1540
005.0003;-22.5166;   77
